image_name,gemini_output,sentiment,sarcasm,vulgarity,abuse,target
image_tamil_0139.jpg,"This image is a popular Tamil meme template featuring the well-known comedic actor Vadivelu. He is wearing a red and blue checkered shirt and is leaning back against a tree, holding a finger to his lips in a shushing gesture while looking slightly off-camera with a wide-eyed, intensely warning facial expression. The Tamil text overlay at the top of the image translates to, ""I am telling you for the last time, run away quietly."" A website watermark is also visible on his shirt, and the overall image humorously captures a moment of comedic threat or final warning.",Negative,Non-Sarcastic,Non-Vulgar,Non-Abusive,Other
image_tamil_0227.jpg,"This meme depicts a screenshot from a Tamil comedy film sequence showing a small, ragtag group of men marching in a rally or protest. In the foreground, popular comedian Vivek in a blue shirt walks alongside other actors who are enthusiastically raising their fists and holding up flags or sticks, sporting dramatically serious and eager facial expressions to mimic a powerful political force. The Tamil text overlaid across the top and bottom of the image translates to, ""Is this army enough..? Do you want some more..??"" which humorously uses a famous action-movie dialogue to mockingly highlight the small and unthreatening size of the gathered crowd.",Neutral,Non-Sarcastic,Non-Vulgar,Non-Abusive,Person
image_tamil_0396.jpg,"This meme features a close-up shot of the popular Tamil actor Ajith Kumar, sporting his signature salt-and-pepper hair and beard while wearing a white collared shirt. He looks toward the side with a wide, mischievous, and sarcastically impressed grin, conveying a playful sense of disbelief. On the left side of the frame, a hand is visible holding a wooden object, likely a cricket bat. Above the scene, a black banner displays the Tamil text ""அடேங்கப்பா..."", which translates to an exclamation of amazement or surprise like ""My goodness..."" or ""Wow..."", making this meme template popular for reacting to shocking, exaggerated, or highly impressive situations.",Negative,Non-Sarcastic,Non-Vulgar,Non-Abusive,Person
image_tamil_0539.jpg,"This three-panel meme depicts a young woman in a blue saree and a young man in a dark shirt sitting at a restaurant table. In the first panel, the woman looks tense and questioning while the man looks downcast and sad, with the Tamil text translating to ""No matter how many problems there are."" In the second panel, which features a yellow smiling angel emoji on the left, the woman holds a piece of food and looks determinedly at her companion, accompanied by text translating to ""If we eat until we are stuffed."" In the final panel, the woman eagerly stuffs a large bite of food into her mouth with a focused expression, while the man remains somber and lost in thought, captioned with the text translating to ""Whether the problem gets solved or not, we will forget the problem!""",Negative,Sarcastic,Non-Vulgar,Non-Abusive,Group
image_tamil_0833.jpg,"This nine-panel meme grid features comical screenshots from a Tamil film’s boxing match sequence starring actor Vadivelu, satirically representing the clash over the ""Superstar"" title in Tamil cinema. The top row captures dramatic reactions, featuring an older man screaming in agony or excitement under the Tamil label ""Seeseeman"" (a play on a politician's name), and Vadivelu shouting in panic under the Tamil label ""Simbu"" (referring to the Tamil actor). The middle row depicts the physical struggle in the boxing ring, with Vadivelu getting hilariously defeated and looking distressed. In the bottom row, a man with a thick handlebar mustache smiles through tears of emotional pride under the Tamil label ""Fans,"" which contrasts with the final panels where Vadivelu looks completely bewildered and dejected while awkwardly handing over a championship trophy, marked by the English overlay ""super_star_title.""",Neutral,Sarcastic,Non-Vulgar,Non-Abusive,Other
image_tamil_0634.jpg,"This meme humorously summarizes the climax of the Indian film *World Famous Lover* by contrasting the protagonist's multiple romantic storylines. The top half shows four panels of the male lead, played by Vijay Deverakonda, sharing warm, romantic moments with four different female leads, with all characters expressing happiness and affection beneath the English header ""WORLD FAMOUS LOVER CLIMAX BE LIKE"". In stark contrast, the bottom half shows a photoshopped scene where the four actresses' faces are superimposed onto identical bodies of a sullen, seated woman wearing a patterned shawl, all staring blankly ahead. On the right, the male protagonist stands looking back at them with a deeply concerned and bewildered expression. The watermark ""MOKKABRO"" features the name of a popular Tamil meme creator, where the slang word ""Mokka"" translates to ""lame"" or ""silly"" in English.",Negative,Sarcastic,Non-Vulgar,Non-Abusive,Group
image_tamil_0379.jpg,"This meme features a close-up shot of the popular Tamil comedian Vadivelu in an outdoor setting with trees and another man partially visible in the background. Vadivelu displays a classic expression of sudden realization and understanding, characterized by wide, expressive eyes looking slightly upward and a neutral mouth, capturing the exact moment someone finally grasps a situation. At the top of the image, the Tamil text overlay reads ""ஓ இதான் விஷயமா,"" which translates to English as ""Oh, so this is the matter?"" or ""Oh, is that the case?"", perfectly complementing his realization-filled facial expression.",Positive,Non-Sarcastic,Non-Vulgar,Non-Abusive,Person
image_tamil_0984.jpg,"This four-panel meme humorously depicts an extreme skin-whitening transformation process using characters from popular films. In the top-left panel, hands are shown mixing a thick white cosmetic paste in a large bowl, which leads to the top-right panel where Indian actor Rajinikanth, covered head-to-toe in the white mixture, sits with a wide, comical grin. The bottom-left panel shows a bald, dark-skinned Hindu priest looking deeply confused and skeptical with a furrowed brow, while the bottom-right panel features the bald, extremely pale character Ancient One from the movie Doctor Strange looking serious and solemn. The meme jokingly implies that the priest underwent the intense whitening procedure shown above to transform into the pale Ancient One. In the center of the collage, the name ""Prasad"" is written in a colorful, 3D English font as a watermark, with no Tamil text present in the image.",Positive,Sarcastic,Non-Vulgar,Non-Abusive,Group
image_tamil_0418.jpg,"This meme features a scene from a Tamil film set in a rustic, thatched-roof village tavern where comedian Vadivelu, wearing a white shirt and a blue headband, eagerly reaches out to another man dressed in a white shirt and checkered lungi. Vadivelu sports a highly enthusiastic and slightly scheming expression as he extends his hands, while the other man looks down with a hesitant and skeptical gaze. The yellow Tamil text overlay at the top translates to, ""Shall we pair up your money and my money, partner?"" humorously depicting a proposal to combine funds that likely benefits the proposer.",Negative,Non-Sarcastic,Non-Vulgar,Non-Abusive,Person
image_tamil_0291.jpg,"This meme features a still from a classic Tamil comedy scene where a man on the left, dressed in a white shirt with a red towel over his shoulder, angrily raises a whip or stick while clutching the arm of the popular comedian Vadivelu. Vadivelu, wearing a plaid shirt, is pinned against a blue vehicle and displays a comical look of fear and helplessness as he cringes in anticipation of being struck. The bright green Tamil text at the top reads ""நாட்டுக்கு இப்போ இது ரொம்ப முக்கியம்..."", which translates to ""This is very important for the country right now..."" and is widely used online as a sarcastic reaction to mock trivial, irrelevant, or sensationalized news and debates.",Negative,Non-Sarcastic,Non-Vulgar,Non-Abusive,Person
