ids,sentiment,sarcasm,vulgar,abuse,target,label,caption
image_telugu_0046.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"happy birthday to person, the actor who is the best actor in the world happy birthday to person, the actor who is the best actor in"
image_telugu_0047.png,neutral,yes,not vulgar,non-abusive,gender,0,a movie scene with a man and woman talking to each other people
image_telugu_0928.png,negative,yes,not vulgar,non-abusive,gender,0,a funny joke on the life of an old man
image_telugu_0850.png,positive,no,not vulgar,non-abusive,individual,0,person and person in the comedy show
image_telugu_0466.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,person and person in the movie
image_telugu_0763.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"a bunch of people in a room with a sign that says, ' pv house cleaning day '"
image_telugu_0351.png,positive,yes,not vulgar,non-abusive,none,0,a man with a smile on his face
image_telugu_0129.png,neutral,yes,not vulgar,non-abusive,none,0,a man talking to another man in an office
image_telugu_0554.png,neutral,yes,not vulgar,non-abusive,none,0,a man is sitting on a couch with a quote on it
image_telugu_0524.png,neutral,yes,vulgar,non-abusive,individual,0,a girl in a white top with a quote on it
image_telugu_0301.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a col of a man cooking food in a kitchen
image_telugu_0004.png,negative,yes,vulgar,non-abusive,social sub-groups,0,a funny scene from the movie
image_telugu_0810.png,positive,no,not vulgar,non-abusive,others,0,the kal movie dialogues dialoguess
image_telugu_0282.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man talking on a phone while a woman looks on
image_telugu_0123.png,neutral,yes,not vulgar,non-abusive,individual,0,"telugu quotes in telugu telugu quotes, telugu quotes, telugu quotes, telugu quotes, telugu quotes, telugu quotes"
image_telugu_0619.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a picture of a man and woman with the capt in the middle
image_telugu_0750.png,negative,yes,not vulgar,non-abusive,political,0,a tweet of the police officer who was attacked by a police officer
image_telugu_0944.png,negative,yes,not vulgar,non-abusive,national origin,0,a man in a suit sitting at a desk with a flag behind him
image_telugu_0871.png,positive,no,not vulgar,non-abusive,none,0,person and person in a still scene in the movie
image_telugu_0281.png,negative,yes,vulgar,non-abusive,none,0,a man is fixing a computer
image_telugu_0942.png,negative,yes,not vulgar,non-abusive,social sub-groups,0,a man is laughing and talking to another man
image_telugu_0345.png,neutral,yes,not vulgar,non-abusive,individual,0,a man in a blue shirt and red shirt is sitting in front of a television screen
image_telugu_0027.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,person and person in the movie
image_telugu_0023.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,malayalam dialoguess
image_telugu_0461.png,positive,yes,not vulgar,non-abusive,social sub-groups,0,"a dog with a man in the background and a capt that reads, ' i am kapaather"
image_telugu_0585.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a bus with a man in the back and a woman in the back
image_telugu_0914.png,positive,no,not vulgar,non-abusive,individual,0,actor vijay reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy
image_telugu_0522.png,neutral,yes,vulgar,non-abusive,none,0,a man with a beard and a woman with a beard and a man with a beard and a woman with
image_telugu_0981.png,positive,no,not vulgar,non-abusive,others,0,telugu dialoguess in telugu movies
image_telugu_0375.png,neutral,yes,vulgar,abusive,individual,1,a dog with a cell phone in its mouth
image_telugu_0139.png,positive,no,not vulgar,non-abusive,religion,0,"person, person, person, person, person, person, person, person, person, person, the godfather, person"
image_telugu_0434.png,positive,yes,not vulgar,non-abusive,individual,0,the tamil dialogues of the day
image_telugu_0377.png,neutral,yes,vulgar,abusive,social sub-groups,1,a group of men in a field with the capt of a man in a black shirt
image_telugu_0841.png,negative,no,not vulgar,non-abusive,others,0,a woman who was raped in a movie
image_telugu_0200.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu funny quotes in telugu telugu telugu quotes
image_telugu_0159.png,neutral,yes,not vulgar,non-abusive,none,0,telugu quotes on life
image_telugu_0543.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,malayalam dialoguess
image_telugu_0545.png,neutral,yes,not vulgar,non-abusive,none,0,cute love quotes in telugu telugu telugu telugu telugu telugu telugu telugu telugu telugu telugu telugu telugu telugu telugu telugu telugu
image_telugu_0007.png,negative,no,not vulgar,non-abusive,social sub-groups,0,a man drinking beer from a bottle with the words ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '
image_telugu_0327.png,neutral,yes,vulgar,non-abusive,social sub-groups,0,a man with a red shirt and a black shirt
image_telugu_0921.png,positive,yes,vulgar,abusive,others,1,a man in glasses talking to a woman
image_telugu_0685.png,neutral,yes,not vulgar,non-abusive,none,0,telugu dialoguess in telugu movies
image_telugu_0103.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man walking with cows in the street
image_telugu_0150.png,neutral,yes,not vulgar,non-abusive,none,0,a baby is sitting on a blanket with the words ` ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '
image_telugu_0874.png,neutral,yes,not vulgar,non-abusive,others,0,a woman is surrounded by glass shards
image_telugu_0245.png,positive,no,not vulgar,non-abusive,individual,0,vijay vijay and vijay vijay on twitter
image_telugu_0795.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a woman in uniform talking to a man in uniform
image_telugu_0638.png,neutral,yes,not vulgar,non-abusive,none,0,a man is writing on a whiteboard with a blackboard
image_telugu_0664.png,neutral,yes,not vulgar,non-abusive,none,0,the face of a man with a black circle on his forehead
image_telugu_0746.png,negative,yes,not vulgar,non-abusive,political,0,a man in a white shirt is pointing at a woman in a red shirt
image_telugu_0726.png,negative,yes,not vulgar,non-abusive,political,0,a video of the actor being interviewed by the media
image_telugu_0402.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man and woman are talking in a room
