ids,sentiment,sarcasm,vulgar,abuse,target,label
image_telugu_0046.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0047.png,neutral,yes,not vulgar,non-abusive,gender,0
image_telugu_0928.png,negative,yes,not vulgar,non-abusive,gender,0
image_telugu_0850.png,positive,no,not vulgar,non-abusive,individual,0
image_telugu_0466.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0763.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0351.png,positive,yes,not vulgar,non-abusive,none,0
image_telugu_0129.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0554.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0524.png,neutral,yes,vulgar,non-abusive,individual,0
image_telugu_0301.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0004.png,negative,yes,vulgar,non-abusive,social sub-groups,0
image_telugu_0810.png,positive,no,not vulgar,non-abusive,others,0
image_telugu_0282.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0123.png,neutral,yes,not vulgar,non-abusive,individual,0
image_telugu_0619.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0750.png,negative,yes,not vulgar,non-abusive,political,0
image_telugu_0944.png,negative,yes,not vulgar,non-abusive,national origin,0
image_telugu_0871.png,positive,no,not vulgar,non-abusive,none,0
image_telugu_0281.png,negative,yes,vulgar,non-abusive,none,0
image_telugu_0942.png,negative,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0345.png,neutral,yes,not vulgar,non-abusive,individual,0
image_telugu_0027.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0023.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0461.png,positive,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0585.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0914.png,positive,no,not vulgar,non-abusive,individual,0
image_telugu_0522.png,neutral,yes,vulgar,non-abusive,none,0
image_telugu_0981.png,positive,no,not vulgar,non-abusive,others,0
image_telugu_0375.png,neutral,yes,vulgar,abusive,individual,1
image_telugu_0139.png,positive,no,not vulgar,non-abusive,religion,0
image_telugu_0434.png,positive,yes,not vulgar,non-abusive,individual,0
image_telugu_0377.png,neutral,yes,vulgar,abusive,social sub-groups,1
image_telugu_0841.png,negative,no,not vulgar,non-abusive,others,0
image_telugu_0200.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0159.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0543.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0545.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0007.png,negative,no,not vulgar,non-abusive,social sub-groups,0
image_telugu_0327.png,neutral,yes,vulgar,non-abusive,social sub-groups,0
image_telugu_0921.png,positive,yes,vulgar,abusive,others,1
image_telugu_0685.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0103.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0150.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0874.png,neutral,yes,not vulgar,non-abusive,others,0
image_telugu_0245.png,positive,no,not vulgar,non-abusive,individual,0
image_telugu_0795.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0638.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0664.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0746.png,negative,yes,not vulgar,non-abusive,political,0
image_telugu_0726.png,negative,yes,not vulgar,non-abusive,political,0
image_telugu_0402.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0307.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0388.png,neutral,yes,vulgar,non-abusive,social sub-groups,0
image_telugu_0714.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0044.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0621.png,neutral,yes,not vulgar,non-abusive,none,0
image_telugu_0730.png,neutral,yes,not vulgar,non-abusive,political,0
image_telugu_0623.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0435.png,positive,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0158.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0328.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0041.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0907.png,positive,no,not vulgar,non-abusive,social sub-groups,0
image_telugu_0735.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0
image_telugu_0114.png,neutral,yes,not vulgar,non-abusive,individual,0
image_telugu_0227.png,neutral,yes,not vulgar,non-abusive,individual,0
image_telugu_0193.png,neutral,yes,not vulgar,non-abusive,individual,0
image_telugu_0264.png,neutral,yes,vulgar,non-abusive,social sub-groups,0
