ids,caption
image_telugu_0001.png,a cartoon character in a room with a bed and a woman sitting on the couch
image_telugu_0002.png,a man and woman in a crowd with a man in the background
image_telugu_0003.png,"a screenshot of a man with a beard and a beard, text reads ` ` ` ` ` ` ` ` ` ` ` ` ` ` `"
image_telugu_0004.png,a funny scene from the movie
image_telugu_0005.png,a group of men standing around each other men
image_telugu_0006.png,a man talking to another man in a crowd
image_telugu_0007.png,a man drinking beer from a bottle with the words ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '
image_telugu_0008.png,a woman in a red shirt and a woman in a brown shirt are on the set of a tv show
image_telugu_0009.png,a dialogues of the movie
image_telugu_0010.png,a picture of a man with a quote on it
image_telugu_0011.png,person in telugu movie
image_telugu_0012.png,telugu funny jokes for kids
image_telugu_0013.png,a man talking to a woman in telugu
image_telugu_0014.png,person and person in the movie
image_telugu_0015.png,telugu dialoguess in telugu movies
image_telugu_0016.png,telugu dialoguess in telugu movies
image_telugu_0017.png,telugu dialoguess
image_telugu_0018.png,a man in a white shirt and a brown shirt is talking to a woman in a white shirt
image_telugu_0019.png,person in a funny scene in the movie
image_telugu_0020.png,a man in a pink shirt sitting at a desk with a blackboard behind him
image_telugu_0021.png,the many faces of the bjps
image_telugu_0022.png,a scene from the movie ' ' ' '
image_telugu_0023.png,malayalam dialoguess
image_telugu_0024.png,a funny dialogues of person
image_telugu_0025.png,a man in a suit and tie is talking to a woman in a red dress
image_telugu_0026.png,"telugu funny quotes, telugu funny quotes, telugu quotes, funny jokes, funny jokes, funny jokes, funny"
image_telugu_0027.png,person and person in the movie
image_telugu_0028.png,a screenshot of the news on the news
image_telugu_0029.png,telugu funny dialoguess
image_telugu_0030.png,a man sitting on a couch with a quote on it
image_telugu_0031.png,a bus with a man talking to another
image_telugu_0032.png,telugu dialogues of the actor
image_telugu_0033.png,a picture of a man kissing a woman in the middle of a movie
image_telugu_0034.png,a funny scene from the movie
image_telugu_0035.png,person and person in the movie
image_telugu_0036.png,a man is sleeping in bed with his head on the pillow
image_telugu_0037.png,malayalam funny song
image_telugu_0038.png,a funny video of a man crying in the face
image_telugu_0039.png,a man with a beard and a beard
image_telugu_0040.png,telugu dialoguess in telugu movies
image_telugu_0041.png,trtview telugu telugu movie review
image_telugu_0042.png,telugu dialoguess in telugu movies
image_telugu_0043.png,funny dialoguess in hindi
image_telugu_0044.png,telugu funny dialoguess
image_telugu_0045.png,a couple is kissing in the same moment
image_telugu_0046.png,"happy birthday to person, the actor who is the best actor in the world happy birthday to person, the actor who is the best actor in"
image_telugu_0047.png,a movie scene with a man and woman talking to each other people
image_telugu_0048.png,person and person in the movie
image_telugu_0049.png,a movie scene with a man in a suit and a woman in a dress
image_telugu_0050.png,"a man talking on a cell phone with a capt that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `"
image_telugu_0051.png,person and person in the movie
image_telugu_0052.png,person and person in the movie
image_telugu_0053.png,a picture of a man with a mustache and a woman with a mustache
image_telugu_0054.png,a man is laughing and pointing at the camera
image_telugu_0055.png,a woman in a graduation gown smiles at a man in a suit
image_telugu_0056.png,a movie scene with a girl and a man
image_telugu_0057.png,kalvi kalvi kalvi kalvi kalvi kalvi kalvi kalvi kalvi ka
image_telugu_0058.png,person and person in the movie
image_telugu_0059.png,aya and anush in the movie
image_telugu_0060.png,a man taking a selfie with his cell phone
image_telugu_0061.png,a man in a blue shirt is lying down on the floor with his head down and his hands clasped
image_telugu_0062.png,a man with a red nose and a black nose with a red nose and a white nose with a red
image_telugu_0063.png,person and person in the movie
image_telugu_0064.png,a col of the actors in malayalam movies
image_telugu_0065.png,person and person in the movie
image_telugu_0066.png,person and person in the movie
image_telugu_0067.png,person and person in the movie
image_telugu_0068.png,a man crying in front of a car
image_telugu_0069.png,tamil funny dialoguess
image_telugu_0070.png,telugu dialoguess in telugu telugu movies
image_telugu_0071.png,a poster of person
image_telugu_0072.png,a young boy crying in the street
image_telugu_0073.png,telugu funny quotes in telugu telugu telugu quotes
image_telugu_0074.png,a man in a white shirt and a woman in a red shirt are talking to each other people
image_telugu_0075.png,a funny conversation between kartih and karth
