ids,ocr_text
image_tamil_0001.jpg,அட பிக்காலிப்பயலுகளா். oo ROFLPHOTOS.COM LOA
image_tamil_0002.jpg,எதா சம்பவம் நடந்திருக்கும்போல்.. ROFLPHOTOS.COM
image_tamil_0003.jpg,இதுவரை நான் யார் வம்பு தும்புக்கும் போனதில்லை.. நான் உண்டு என் வேலையுண்டுன்னு இருக்கேன்.. ROFLPHOTOS.COM
image_tamil_0004.jpg,அடிச்சதே போாலீஸ்தானம் சீத்தப்பு தயிம் EMEES.IN
image_tamil_0005.jpg,Eating mutton! Happy Sunday! ROFLPHOTOS.COM
image_tamil_0006.jpg,Gகாசம் அூககி வாசிஙிக!
image_tamil_0007.jpg,அப்போ. நாங்கலாம் என்ன மானம் கட்டவங்களர -?
image_tamil_0008.jpg,மூக்கு பயrடப்uாr இருந்தா் இப்படி யல்லாம் யேோசீக்க தோுணும். roflphotos.com
image_tamil_0009.jpg,ீல உந்தி பச்சிட்ு சா். bbo 
image_tamil_0010.jpg,இங்கபாரு எல்லை மீறி போய்க்கிட்டு இருக்க.. சொன்னா கேளு இத்தோட நிறுத்திக்கோ. ROFLPHOTOS.COM
image_tamil_0011.jpg,உன்னையல்லைாொம் பிரண்ட்டா வெச்சிருக்கேன் பாரு… C Roflphotos.com
image_tamil_0012.jpg,எல்லாம் உன்னால் வர்றது 50 வயசுக்கு மல உனக்ச FACEBOOK தேவையா்… roflphotos.com
image_tamil_0013.jpg,ஏபுள்ள மாமனுக்கு ஒரு முத்தம் தர்றது. . ROFLPHOTOS.COM என்ன சான்ன. . qq சரியா காதுல் படுகல்
image_tamil_0014.jpg,எத்தனை நடுராத்திரில நான் வீட்டுக்கு போகும்போது கடிக்குறதுக்கு விரட்டியிருப்பீங்க.. A roflphotos.com * Me * Area Dogs இன்னைக்கு இந்த Bற் ah போட்டு உங்களை கொல்றேன் பாரு.
image_tamil_0015.jpg,தேர்தல் ரீசல்ட். எல்லாம் முடிஞ்சீட்டு இன் நம்ம பாழப்பபார்ப்போம் உழைச்சாதான் சாறு C ROFLPHOTOS.COM
image_tamil_0016.jpg,அப்பளம் வித்த்துக்கு பதிலா அப்போலோவுல இட்லி வித்திருந்தா இந்நேோம் நாம அம்பானி ரேஞ்சுக்குபோயிருப்போம்… C ROFLPHOTOS:COM
image_tamil_0017.jpg,ROFLPHOTOS.COM
image_tamil_0018.jpg,இன்னுமாடா இதுயல்லாம் நம்பிக்கிட்டு இருக்கீங்க ROFLPHOTOS.COM
image_tamil_0019.jpg,TAG THAT INNOCENT FRIEND roflphotos.
image_tamil_0020.jpg,இ51 தகந்தrத இஜலமம்..
image_tamil_0021.jpg,இது நமக்குதோணாம போச்சே. roflphotos.cor
image_tamil_0022.jpg,கடந்த 2 மாதங்களாக ஒவ்வொரு நாளும் என்து கன்வில் கருண்ாநிதி வருகிறார் வேகோ பேட்ட் கருணாநிதி வகா roflphotos.com
image_tamil_0023.jpg,என்னடா கேட்ட..??
image_tamil_0024.jpg,ஐயா அம்மாபேயி.. ROFLPHOTOS.COM
image_tamil_0025.jpg,இந்த லொள்ன தொனே பேணாம்ங்குறது roflphotos.com
image_tamil_0026.jpg,தெரியுது நீ மூடு.. ROFLPHOTOS.COM
image_tamil_0027.jpg,டேய் எனக்கு வெறி வர்றதுக்குள்ள இங்கிருந்து போய்டுடோ.. A ROFLPHOTOS.COM
